;host_response_time;host_response_rate;host_is_superhost;host_listings_count;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;cancellation_policy;ano;mes
278;within an hour;100%;f;3.0;-22.9471199655438;-43.18553808706627;Apartment;Private room;2;1.5;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Smoking allowed"",Doorman,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Luggage dropoff allowed""}";$99.00;$0.00;$48.00;2;$38.00;1;19;137;94.0;9.0;9.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
279;;;f;1.0;-22.93352204321092;-43.18116533039851;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;"{""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Bed linens""}";$120.00;$2,000.00;$120.00;2;$50.00;28;1125;12;94.0;9.0;9.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
280;within a day;100%;f;1.0;-23.00683607538989;-43.32427114566512;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",Washer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";$256.00;$820.00;$205.00;2;$41.00;5;365;13;95.0;10.0;10.0;10.0;10.0;9.0;9.0;f;f;strict;2018;4
281;within an hour;100%;f;3.0;-22.946820542869315;-43.18368433055904;Guesthouse;Private room;2;1.5;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Smoking allowed"",Doorman,""Free street parking"",""Buzzer/wireless intercom"",Washer,Essentials,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Hot water"",Microwave,""Dishes and silverware"",""Cooking basics"",Stove,""Luggage dropoff allowed"",""Host greets you""}";$140.00;;$48.00;2;$50.00;1;19;194;96.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
282;;;f;1.0;-22.915254577724543;-43.18136289087773;House;Entire home/apt;3;1.0;1.0;3.0;Real Bed;"{Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets live on this property"",Dog(s),""Family/kid friendly"",Essentials,Hangers,""Hair dryer"",Iron}";$181.00;$350.00;$80.00;1;$80.00;2;1125;20;95.0;9.0;9.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
283;a few days or more;0%;f;2.0;-22.986684516279222;-43.20403453139976;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer}";$512.00;$683.00;$154.00;2;$85.00;5;14;26;94.0;9.0;9.0;10.0;10.0;10.0;9.0;f;f;super_strict_30;2018;4
284;within an hour;100%;f;1.0;-22.979847913088747;-43.19135404653498;Apartment;Entire home/apt;5;1.0;1.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",""Hot water"",""Long term stays allowed"",""Paid parking on premises""}";$198.00;$1,025.00;$212.00;5;$68.00;5;90;115;90.0;9.0;9.0;10.0;10.0;10.0;9.0;t;f;strict;2018;4
285;;;f;2.0;-22.9300689216508;-43.19453100989298;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;"{""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",Washer,Shampoo}";$512.00;$342.00;$137.00;1;$102.00;2;300;7;100.0;10.0;10.0;10.0;10.0;9.0;9.0;f;f;strict;2018;4
286;;;f;1.0;-22.98665261248188;-43.4322466109785;Apartment;Entire home/apt;4;1.0;2.0;4.0;Real Bed;"{TV,""Cable TV"",""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Fire extinguisher""}";$201.00;$500.00;;1;$100.00;2;30;2;80.0;9.0;8.0;9.0;9.0;9.0;8.0;t;f;moderate;2018;4
287;;;f;3.0;-22.967195464304314;-43.17983066452528;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}";$249.00;;$150.00;1;$0.00;2;365;8;87.0;8.0;9.0;9.0;9.0;10.0;8.0;f;f;strict;2018;4
